260625_SnO2_+50 - 1 - 6/25/2026 12:45:45 PM,,,260625_SnO2_+50 - 2 - 6/25/2026 12:46:55 PM,,,260625_SnO2_+50 - 3 - 6/25/2026 12:48:04 PM,,,260625_SnO2_+50 - 4 - 6/25/2026 12:49:13 PM,,,260625_SnO2_+50 - 5 - 6/25/2026 12:50:22 PM,,,260625_SnO2_+50 - 6 - 6/25/2026 12:51:31 PM,,,260625_SnO2_+50 - 7 - 6/25/2026 12:52:40 PM,,,260625_SnO2_+50 - 8 - 6/25/2026 12:53:49 PM,,,260625_SnO2_+50 - 9 - 6/25/2026 12:54:58 PM,,,260625_SnO2_+50 - 10 - 6/25/2026 12:56:07 PM,,
d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d)
121.65,0.00,100.000,6.24,0.00,100.000,6.78,78.90,76.632,6.93,0.00,100.000,3.61,57.75,26.165,2.89,64.37,26.718,,,,3.63,72.75,39.232,8.29,0.00,100.000,3.22,50.07,29.487
137.50,0.00,100.000,6.41,0.00,100.000,7.00,76.19,78.172,7.13,0.00,100.000,3.80,64.10,28.546,3.04,69.99,29.124,,,,3.80,77.77,41.456,8.51,0.00,100.000,3.36,55.92,31.295
155.41,0.00,100.000,6.59,0.00,100.000,7.24,73.38,79.655,7.33,0.00,100.000,4.00,70.37,31.159,3.18,75.43,31.717,,,,3.98,82.49,43.815,8.74,0.00,100.000,3.52,61.86,33.295
175.66,0.00,100.000,6.77,0.00,100.000,7.48,70.51,81.080,7.53,0.00,100.000,4.21,76.41,33.997,3.34,80.58,34.487,,,,4.16,86.81,46.297,8.98,0.00,100.000,3.68,67.77,35.487
198.55,0.00,100.000,6.95,0.00,100.000,7.73,67.59,82.446,7.74,0.00,100.000,4.43,82.07,37.044,3.50,85.33,37.421,,,,4.35,90.65,48.889,9.22,0.00,100.000,3.85,73.53,37.864
224.42,0.00,100.000,7.14,0.00,100.000,7.98,64.64,83.753,7.96,0.00,100.000,4.66,87.18,40.282,3.67,89.57,40.501,,,,4.56,93.91,51.575,9.47,0.00,100.000,4.03,79.03,40.419
253.66,0.00,100.000,7.34,0.00,100.000,8.25,61.66,84.999,8.18,0.00,100.000,4.90,91.59,43.683,3.85,93.19,43.705,,,,4.77,96.53,54.335,9.72,0.00,100.000,4.21,84.12,43.139
286.71,0.00,100.000,7.54,0.00,100.000,8.52,58.68,86.185,8.41,0.00,100.000,5.16,95.18,47.218,4.04,96.11,47.009,,,,4.99,98.44,57.150,9.98,0.00,100.000,4.41,88.68,46.007
324.07,0.00,100.000,7.74,0.00,100.000,8.81,55.71,87.311,8.65,0.00,100.000,5.43,97.83,50.851,4.24,98.25,50.387,,,,5.22,99.61,59.998,10.25,0.00,100.000,4.61,92.60,49.001
366.29,0.00,100.000,7.96,0.00,100.000,9.10,52.76,88.377,8.89,0.00,100.000,5.71,99.45,54.544,4.44,99.56,53.810,,,,5.46,100.00,62.858,10.52,0.00,100.000,4.83,95.77,52.097
414.02,0.00,100.000,8.17,0.00,100.000,9.40,49.84,89.384,9.14,0.00,100.000,6.01,100.00,58.257,4.66,100.00,57.248,,,,5.71,99.61,65.706,10.81,0.00,100.000,5.05,98.10,55.269
467.97,0.00,100.000,8.40,0.00,100.000,9.72,46.98,90.334,9.40,0.00,100.000,6.33,99.45,61.951,4.89,99.56,60.671,,,,5.98,98.44,68.521,11.10,0.00,100.000,5.28,99.52,58.487
528.94,0.00,100.000,8.63,0.00,100.000,10.04,44.17,91.226,9.66,0.00,100.000,6.66,97.83,65.584,5.13,98.25,64.048,,,,6.26,96.53,71.281,11.40,0.00,100.000,5.52,100.00,61.720
597.86,0.00,100.000,8.86,0.00,100.000,10.38,41.43,92.064,9.94,0.00,100.000,7.01,95.18,69.118,5.38,96.11,67.353,,,,6.55,93.91,73.967,11.70,0.00,100.000,5.78,99.52,64.938
675.75,0.00,100.000,9.10,0.00,100.000,10.72,38.76,92.847,10.22,0.00,100.000,7.37,91.59,72.519,5.64,93.19,70.557,,,,6.85,90.65,76.559,12.02,0.00,100.000,6.04,98.10,68.110
763.80,0.00,100.000,9.35,0.00,100.000,11.08,36.18,93.578,10.50,0.00,100.000,7.76,87.18,75.757,5.91,89.57,73.636,,,,7.17,86.81,79.041,12.34,0.00,100.000,6.32,95.77,71.206
863.32,0.00,100.000,9.61,0.00,100.000,11.45,33.69,94.259,10.80,0.00,100.000,8.16,82.07,78.804,6.20,85.33,76.570,,,,7.50,82.49,81.400,12.67,0.00,100.000,6.61,92.60,74.201
975.80,0.00,100.000,9.87,0.00,100.000,11.83,31.30,94.892,11.10,0.00,100.000,8.59,76.41,81.642,6.51,80.58,79.340,,,,7.84,77.77,83.624,13.01,0.00,100.000,6.92,88.68,77.068
"1,102.95",0.00,100.000,10.14,0.00,100.000,12.22,29.00,95.478,11.41,0.00,100.000,9.04,70.37,84.255,6.82,75.43,81.934,,,,8.21,72.75,85.704,13.36,0.00,100.000,7.24,84.12,79.788
"1,246.65",0.00,100.000,10.41,0.00,100.000,12.63,26.81,96.020,11.73,0.00,100.000,9.51,64.10,86.636,7.16,69.99,84.340,,,,8.59,67.51,87.635,13.72,0.00,100.000,7.57,79.03,82.343
"1,409.09",0.00,100.000,10.70,0.00,100.000,13.05,24.72,96.519,12.06,0.00,100.000,10.01,57.75,88.781,7.51,64.37,86.553,,,,8.99,62.17,89.413,14.09,0.00,100.000,7.92,73.53,84.721
"1,592.68",0.00,100.000,10.99,0.00,100.000,13.48,22.74,96.979,12.40,0.00,100.000,10.54,51.46,90.692,7.87,58.68,88.570,,,,9.40,56.80,91.037,14.47,0.00,100.000,8.29,67.77,86.912
"1,800.20",0.00,100.000,11.29,0.00,100.000,13.93,20.87,97.401,12.75,0.00,100.000,11.09,45.36,92.376,8.26,53.02,90.393,,,,9.84,51.48,92.509,14.86,0.00,100.000,8.67,61.86,88.912
