260625_SnO2_-10 - 1 - 6/25/2026 12:05:54 PM,,,260625_SnO2_-10 - 2 - 6/25/2026 12:07:04 PM,,,260625_SnO2_-10 - 3 - 6/25/2026 12:08:13 PM,,,260625_SnO2_-10 - 4 - 6/25/2026 12:09:22 PM,,,260625_SnO2_-10 - 5 - 6/25/2026 12:10:31 PM,,,260625_SnO2_-10 - 6 - 6/25/2026 12:11:40 PM,,,260625_SnO2_-10 - 7 - 6/25/2026 12:12:49 PM,,,260625_SnO2_-10 - 8 - 6/25/2026 12:13:59 PM,,,260625_SnO2_-10 - 9 - 6/25/2026 12:15:08 PM,,,260625_SnO2_-10 - 10 - 6/25/2026 12:16:18 PM,,
d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d)
9.31,86.44,37.739,8.20,100.00,55.874,7.72,100.00,65.130,14.84,52.24,88.525,13.54,43.77,91.276,14.20,56.68,87.336,2.55,0.00,100.000,16.17,17.83,99.354,137.89,0.00,100.000,15.68,43.04,91.450
9.94,92.13,42.336,8.56,99.59,59.272,8.21,99.48,68.126,15.29,49.31,89.528,13.94,40.79,92.174,14.62,53.47,88.503,2.66,0.00,100.000,16.57,13.72,99.746,153.60,0.00,100.000,16.13,40.06,92.339
10.61,96.42,47.148,8.93,98.38,62.629,8.73,97.94,71.075,15.75,46.43,90.473,14.36,37.92,93.009,15.05,50.31,89.600,2.77,0.00,100.000,16.97,8.86,100.000,171.10,0.00,100.000,16.60,37.18,93.165
11.33,99.09,52.093,9.32,96.39,65.919,9.29,95.43,73.948,16.23,43.61,91.360,14.79,35.14,93.783,15.49,47.19,90.630,2.88,0.00,100.000,18.01,0.00,100.000,190.60,0.00,100.000,17.08,34.40,93.929
12.09,100.00,57.083,9.72,93.68,69.115,9.88,92.02,76.719,16.73,40.87,92.191,15.23,32.47,94.498,15.94,44.15,91.593,3.00,0.00,100.000,18.53,0.00,100.000,212.31,0.00,100.000,17.57,31.74,94.634
12.91,99.09,62.028,10.15,90.30,72.197,10.51,87.81,79.363,17.24,38.20,92.968,15.68,29.92,95.157,16.41,41.18,92.492,3.12,0.00,100.000,19.07,0.00,100.000,236.50,0.00,100.000,18.08,29.20,95.282
13.78,96.42,66.840,10.59,86.33,75.143,11.17,82.93,81.860,17.76,35.62,93.693,16.15,27.50,95.762,16.89,38.31,93.328,3.25,0.00,100.000,19.62,0.00,100.000,263.44,0.00,100.000,18.60,26.79,95.877
14.71,92.13,71.437,11.05,81.87,77.937,11.88,77.51,84.194,18.30,33.13,94.367,16.63,25.19,96.317,17.38,35.53,94.103,3.39,0.00,100.000,20.18,0.00,100.000,293.46,0.00,100.000,19.14,24.50,96.421
15.71,86.44,75.750,11.53,77.01,80.564,12.64,71.70,86.353,18.86,30.74,94.992,17.12,23.02,96.824,17.89,32.86,94.820,3.53,0.00,100.000,20.77,0.00,100.000,326.89,0.00,100.000,19.69,22.34,96.917
16.77,79.64,79.725,12.03,71.85,83.016,13.44,65.63,88.329,19.43,28.45,95.571,17.63,20.97,97.286,18.42,30.31,95.481,3.67,0.00,100.000,21.37,0.00,100.000,364.14,0.00,100.000,20.26,20.31,97.368
17.90,72.05,83.320,12.55,66.48,85.285,14.30,59.46,90.119,20.02,26.27,96.105,18.16,19.04,97.705,18.96,27.87,96.089,3.82,0.00,100.000,21.98,0.00,100.000,405.62,0.00,100.000,20.85,18.42,97.777
