260615_SnO2_CB_GB - 1 - 6/15/2026 2:19:44 PM,,,260615_SnO2_CB_GB - 2 - 6/15/2026 2:20:53 PM,,,260615_SnO2_CB_GB - 3 - 6/15/2026 2:22:02 PM,,,260615_SnO2_CB_GB - 4 - 6/15/2026 2:23:11 PM,,,260615_SnO2_CB_GB - 5 - 6/15/2026 2:24:20 PM,,,260615_SnO2_CB_GB - 6 - 6/15/2026 2:25:30 PM,,,260615_SnO2_CB_GB - 7 - 6/15/2026 2:26:39 PM,,,260615_SnO2_CB_GB - 8 - 6/15/2026 2:27:48 PM,,,260615_SnO2_CB_GB - 9 - 6/15/2026 2:28:57 PM,,,260615_SnO2_CB_GB - 10 - 6/15/2026 2:30:06 PM,,
d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d)
11.40,19.79,97.279,10.87,0.00,100.000,8.91,44.62,92.124,,,,155.34,0.00,100.000,10.31,57.95,88.391,9.95,47.15,91.734,10.31,26.16,95.940,8.97,79.05,79.593,10.50,44.07,91.433
11.74,17.92,97.681,11.19,0.00,100.000,9.18,41.89,92.972,,,,171.79,0.00,100.000,10.62,55.42,89.377,10.25,44.73,92.545,10.58,23.88,96.474,9.45,74.26,81.940,10.81,41.10,92.326
12.10,16.17,98.044,11.51,0.00,100.000,9.46,39.23,93.765,,,,189.99,0.00,100.000,10.94,52.92,90.319,10.56,42.36,93.312,10.85,21.74,96.961,9.95,69.25,84.130,11.14,38.22,93.156
12.46,14.55,98.371,11.84,0.00,100.000,9.75,36.65,94.507,,,,210.11,0.00,100.000,11.28,50.44,91.216,10.88,40.04,94.037,11.14,19.74,97.402,10.48,64.11,86.156,11.48,35.45,93.926
12.84,13.05,98.664,12.18,0.00,100.000,10.04,34.16,95.198,,,,232.36,0.00,100.000,11.62,47.99,92.070,11.21,37.78,94.721,11.43,17.86,97.801,11.04,58.92,88.019,11.83,32.78,94.639
13.22,11.67,98.926,12.53,0.00,100.000,10.34,31.76,95.840,,,,256.97,0.00,100.000,11.98,45.58,92.881,11.55,35.58,95.366,11.73,16.12,98.162,11.63,53.74,89.718,12.18,30.23,95.295
13.62,10.41,99.159,12.89,0.00,100.000,10.66,29.46,96.436,,,,284.18,0.00,100.000,12.34,43.22,93.650,11.89,33.45,95.972,12.03,14.50,98.486,12.24,48.67,91.256,12.55,27.79,95.899
14.14,4.64,99.263,13.26,0.00,100.000,10.98,27.26,96.988,,,,314.27,0.00,100.000,12.72,40.90,94.378,12.25,31.40,96.541,12.35,13.00,98.777,12.90,43.75,92.640,12.93,25.48,96.453
14.46,9.97,99.487,13.64,0.00,100.000,11.31,25.16,97.497,,,,347.56,0.00,100.000,13.11,38.65,95.066,12.62,29.41,97.073,12.67,11.63,99.037,13.58,39.04,93.874,13.32,23.30,96.959
14.79,12.87,99.776,14.04,0.00,100.000,11.65,23.17,97.966,,,,384.36,0.00,100.000,13.51,36.45,95.715,13.00,27.51,97.572,13.00,10.37,99.269,14.30,34.58,94.967,13.73,21.24,97.420
15.13,9.97,100.000,14.44,0.00,100.000,12.00,21.29,98.397,,,,425.07,0.00,100.000,13.92,34.32,96.325,13.40,25.68,98.037,13.34,9.22,99.475,15.07,30.41,95.928,14.14,19.31,97.840
15.84,0.00,100.000,14.86,0.00,100.000,12.37,19.51,98.791,,,,470.08,0.00,100.000,14.34,32.26,96.899,13.80,23.93,98.470,13.69,8.17,99.658,15.87,26.54,96.767,14.57,17.50,98.220
16.32,0.00,100.000,15.28,0.00,100.000,12.74,17.84,99.152,,,,519.86,0.00,100.000,14.78,30.27,97.438,14.22,22.25,98.873,14.33,8.38,99.845,16.71,23.00,97.495,15.01,15.82,98.564
16.82,0.00,100.000,15.72,0.00,100.000,13.13,16.28,99.482,,,,574.92,0.00,100.000,15.23,28.35,97.942,14.65,20.66,99.248,14.71,3.47,99.922,17.60,19.78,98.120,15.46,14.26,98.874
17.33,0.00,100.000,16.18,0.00,100.000,13.75,14.20,99.769,,,,635.80,0.00,100.000,15.69,26.51,98.414,15.37,22.88,99.662,15.10,3.47,100.000,18.54,16.89,98.654,15.93,12.82,99.152
17.86,0.00,100.000,16.64,0.00,100.000,14.17,5.71,99.884,,,,703.14,0.00,100.000,16.17,24.74,98.854,15.84,9.33,99.831,15.49,0.00,100.000,19.53,14.32,99.107,16.41,11.49,99.402
18.41,0.00,100.000,17.12,0.00,100.000,14.61,5.71,100.000,,,,777.60,0.00,100.000,16.67,23.05,99.264,16.32,9.33,100.000,15.90,0.00,100.000,20.56,12.05,99.488,16.91,10.27,99.625
18.97,0.00,100.000,17.61,0.00,100.000,15.05,0.00,100.000,,,,859.95,0.00,100.000,17.17,21.44,99.646,16.82,0.00,100.000,16.32,0.00,100.000,21.66,10.06,99.806,17.42,9.15,99.823
19.55,0.00,100.000,18.12,0.00,100.000,15.51,0.00,100.000,,,,951.02,0.00,100.000,17.70,19.91,100.000,17.33,0.00,100.000,16.76,0.00,100.000,22.74,6.15,100.000,17.95,8.13,100.000
20.14,0.00,100.000,18.64,0.00,100.000,15.99,0.00,100.000,,,,"1,051.73",0.00,100.000,18.65,0.00,100.000,17.86,0.00,100.000,17.20,0.00,100.000,23.95,0.00,100.000,18.90,0.00,100.000
20.76,0.00,100.000,19.18,0.00,100.000,16.48,0.00,100.000,,,,"1,163.11",0.00,100.000,19.23,0.00,100.000,18.41,0.00,100.000,17.65,0.00,100.000,25.23,0.00,100.000,19.48,0.00,100.000
21.39,0.00,100.000,19.73,0.00,100.000,16.98,0.00,100.000,,,,"1,286.29",0.00,100.000,19.82,0.00,100.000,18.97,0.00,100.000,18.12,0.00,100.000,26.58,0.00,100.000,20.08,0.00,100.000
